Age,CO2
6.0,311.3
6.426352059999999,312.36164019507424
7.0,310.5
7.0,311.0
7.792658919999894,312.1384725184697
7.792658919999894,311.6176346382123
7.900000000000091,312.3
7.964587149999943,313.78370871604477
7.964587149999943,311.90375721589083
8.0,311.6
8.0,310.9
8.0,310.3
8.22030175000009,312.7370657665416
8.22030175000009,312.05081147133444
9.0,310.7
9.160584629999903,311.80226771747726
9.245991239999967,307.7386635857962
10.0,311.9
10.030999999999949,309.80091502114107
10.408172680000007,310.9510867188181
10.77751491999993,311.0361345099159
10.77751491999993,311.3874541483345
11.0,310.9
11.03227736000008,312.36342146741725
11.03227736000008,308.5499135713751
11.838400000000092,308.47982780846024
11.870147509999924,311.94102882822733
12.0,309.6
12.132119869999997,310.6586926052243
12.132119869999997,312.382326849556
